Nome_Completo,Valor_Total_Declarado
ALACIR VIEIRA CANDIDO JUNIOR,33926.0
JAMIESON DA PAZ LEITTE,33699.99999999999
IGOR GUAPINDAIA DE ANDRADE,33440.0
GRACIELE COELHO JACOME DE BRITO MOREIRA,33163.899999999994
ANTONIO JOAO DE OLIVEIRA SANTOS,32999.999999999985
ELEOMARCIO ALMEIDA DE LIMA,32120.000000000004
WALDEMIR LISBOA E SILVA NETO D IPPOLITO,31897.45
JADER VASCONCELOS DE MENEZES,31799.21
GEISIANE CHAGAS ATAIDE,31733.6
AMINTAS FERREIRA DE OLIVEIRA,31500.0
ERLON PEREIRA ROCHA,31444.68
ALAÉRCIO MAGALHÃES CARDOSO,31404.460000000006
FRANCISCO FURTADO E SILVA JUNIOR,31323.25
RAIMUNDO DE OLIVEIRA MORAES,30926.600000000006
WILSON ANTÔNIO DA SILVA LEITE,30925.52
SINARA CRISTINA RIBEIRO MARTINS VILAÇA,30638.350000000006
FLAVIO RIBEIRO VERAS,30400.000000000007
WALTO SANTOS CUNHA,30296.0
RONISON ROGERIO SOZINHO PARAGUASSU,30150.0
DOUGLAS MARCOS SOUZA DIAS,30100.000000000033
ANA PAULA AMORIM DA SILVA HOLLES,30000.0
JOSE AGNALDO DE JESUS,30000.0
MICHELL MENDES DURANS DA SILVA,29991.65
JOSÉ AUGUSTO PEREIRA DOS SANTOS,29988.100000000006
ALBERTO PORTELA DE SAOUSA,29939.5
AURELIO RAMOS DE OLIVEIRA NETO,29882.989999999994
JOSÉ MARIA BENEVIDES ALVES,29539.5
JORGIANO DIAS MOREIRA,29299.7
JOSÉ MARIA JUNIOR PEREIRA TAPAJOS,29174.149999999994
GABRIEL CALDAS DE MORAES,29001.2
ANDREA MILHOMEM ABBADE,29000.0
BEATRIZ CAMINHA DOS SANTOS,28978.730000000007
ANTONIO ALYSSON CUNHA PONTES,28777.78
RAFAEL EVANGELISTA GALVÃO,28753.0
ANTONIO MASSUD DE SALES PEREIRA,28520.0
LUCAS MICHAEL SILVA BRITO,28384.32
ALTAIR BORBA SOARES,28000.0
MARILDA NATAL,27964.78000000001
MITERRAN LOPES FEITOSA,27927.45
ED WELLINGTON DE ALMEIDA PEREIRA,27516.16
ANTONIO ARMANDO AMARAL DE CASTRO JUNIOR,27220.0
DOMINGAS RAMOS DE SOUSA LIMA,27000.0
ALTAIR DE LIMA BRANDÃO,26954.5
LUIS DO SOCORRO TAVARES RODRIGUES,26900.0
ELIES FERREIRA DE ASSIS,26306.24
JOCLAU BARRA LIMA,25926.3
DANIEL FERNANDES SILVA,25780.0
ANDERSON DE ARAUJO CARVALHO,25567.0
CHARLES WILLIAMS LOBATO DE OLIVEIRA,25487.250000000007
ANTONIO IDALMIR RODRIGUES DE OLIVEIRA,25335.850000000002
ANDREIA LIMA DOS SANTOS,25227.41
LUÍS ANTÔNIO DA COSTA PINHEIRO JUNIOR,25078.35
PEDRO RIBEIRO DE SOUZA,25039.800000000003
ROGERIO QUEIROZ BRILHANTE,25000.000000000004
CLEVIS AUGUSTO CORREIA,25000.0
RONALDO DE PROENCA SEFER,25000.0
JONIEL VIEIRA DE ABREU,25000.0
ALEX ANTONIO MELUL DA SILVA,24991.9
JOSE SILVERIO NUNES DA FONSECA,24799.0
ALINE SANTOS ARRUDA,24780.0
BÁRBARA LUZIA DE OLIVEIRA MATOS,24425.16
MARIA DE LOURDES DOS SANTOS LOPES,24000.0
VALERIA VIEIRA DA SILVA CARLOS GOMES,23833.6
LAURO CUSTODIO CAMPOS DA CUNHA JUNIOR,23761.480000000003
VANDA RÉGIA AMERICO GOMES,23521.0
HENRIQUE LUIZ SARUBBY NASSAR,23496.2
RENAN CENTENO NORMANDO,23495.5
PRISCILLA DOS SANTOS CORDEIRO,23482.14
SILVIO ALVES COELHO,23450.0
MARIA WANJA LOBATO CORREA,23392.55
LAERCIO CANDIDO GOMES,23335.97
REGIANE DO SOCORRO DOS SANTOS BAIA,23310.0
AERTON LIMA DA CRUZ,23245.0
RONAN MANUEL LIBERAL LIRA JÚNIOR,23240.01000000001
DEODATO DO ESPIRITO SANTO FILHO,23160.0
HUGO TEODORO DE SOUSA,23135.0
MARCO AURÉLIO BALDEZ FARIAS,23072.58
FERNANDES DE OLIVEIRA ANSELMO,23006.89
JOSE LUIS ELIAS DE ALMEIDA,23000.0
RUI MANOEL CASTRO BARJONA DE VASCONCELOS RODRIGUES,23000.0
HELDER NERI DE BRITO,22905.0
ALEXANDRE BARROS ALVES DE OLIVEIRA,22853.85
